Date,negative,neutral,positive,retweet_count,reply_count,like_count,quote_count,temp_tweet_counter
2014-01-01,0.037755395683453236,0.8732805755395686,0.0889568345323741,2985,671,7227,0,139
2014-01-02,0.04156227758007118,0.8470498220640565,0.11137366548042707,5644,2489,19578,1,281
2014-01-03,0.03948630136986302,0.8634863013698634,0.0970308219178082,10887,3325,22244,1,292
2014-01-04,0.03324102564102565,0.8443128205128201,0.12245641025641027,2738,1567,5630,1,195
2014-01-05,0.03538853503184713,0.8203949044585989,0.14423566878980892,4076,1428,10860,107,157
2014-01-06,0.033802631578947355,0.8441754385964909,0.12202192982456145,2200,886,2753,1,228
2014-01-07,0.04299615384615384,0.8542307692307691,0.10281153846153844,3237,853,4687,0,260
2014-01-08,0.04080526315789474,0.8421789473684209,0.11702105263157894,1266,568,1915,0,190
2014-01-09,0.04589570552147239,0.8323987730061347,0.12169938650306746,3490,1687,12159,1,163
2014-01-10,0.05423295454545456,0.8268352272727274,0.1189090909090909,3194,919,3826,2,176
2014-01-11,0.056523809523809546,0.8020612244897957,0.14140136054421767,2279,619,4793,1,147
2014-01-12,0.06741726618705035,0.8268920863309349,0.10570503597122305,5405,1376,10811,0,139
2014-01-13,0.03048262548262548,0.8070077220077221,0.16249034749034755,7940,1303,11864,3,259
2014-01-14,0.034425531914893615,0.85643085106383,0.1091436170212766,3471,1127,4675,1,188
2014-01-15,0.05970588235294117,0.8235508021390376,0.11672727272727278,2184,703,2593,1,187
2014-01-16,0.04002830188679245,0.820056603773585,0.1399198113207548,3867,936,4128,2,212
2014-01-17,0.04235121951219512,0.8499512195121954,0.10769756097560977,2278,1098,3625,1,205
2014-01-18,0.044807142857142865,0.8269642857142858,0.12822142857142854,1740,630,4848,0,140
2014-01-19,0.062832,0.8280720000000001,0.109104,1099,441,2123,1,125
2014-01-20,0.065015503875969,0.8325348837209302,0.10244961240310073,1515,1182,4315,0,129
2014-01-21,0.04774594594594594,0.8327837837837839,0.1194324324324324,1873,712,3876,1,185
2014-01-22,0.06452908587257618,0.8398919667590027,0.09556786703601106,3319,1442,5489,0,361
2014-01-23,0.05433941605839416,0.8399854014598539,0.1056861313868613,3071,623,3458,1,274
2014-01-24,0.04577659574468084,0.8397819148936173,0.11442553191489364,1756,577,2683,5,188
2014-01-25,0.03491907514450868,0.8384855491329481,0.12660115606936417,1501,686,2293,1,173
2014-01-26,0.05689506172839506,0.818993827160494,0.12410493827160494,9394,2561,13293,1,162
2014-01-27,0.05195620437956205,0.8158029197080293,0.1322335766423358,5187,923,5532,9,137
2014-01-28,0.04016363636363636,0.8318121212121213,0.12803636363636361,1164,553,1901,0,165
2014-01-29,0.045132075471698105,0.8490817610062894,0.10577358490566043,2759,1658,7902,0,159
2014-01-30,0.061881118881118885,0.8162377622377621,0.12188811188811191,6075,1745,18564,0,143
2014-01-31,0.058545454545454546,0.8184848484848486,0.12299242424242424,1951,516,2647,0,132
2014-02-01,0.05261194029850746,0.7950000000000004,0.15238805970149255,3041,979,7325,0,134
2014-02-02,0.04521008403361345,0.8114285714285715,0.14334453781512604,3298,1137,5525,0,119
2014-02-03,0.04553691275167785,0.8253087248322147,0.12914765100671138,2903,562,5224,0,149
2014-02-04,0.03370114942528736,0.8797088122605365,0.08656704980842918,6757,1372,5425,1,261
2014-02-05,0.061866197183098603,0.8439225352112679,0.09421478873239438,4513,1002,4183,3,284
2014-02-06,0.04517877094972067,0.8244245810055868,0.13037430167597766,2765,912,6203,1,179
2014-02-07,0.04539166666666667,0.8057416666666671,0.14885833333333334,1429,604,4082,0,120
2014-02-08,0.04452475247524753,0.8424851485148512,0.11299009900990097,3458,788,5902,0,101
2014-02-09,0.05405797101449276,0.8178985507246375,0.12803623188405797,1009,552,1398,0,138
2014-02-10,0.0644888888888889,0.7947925925925927,0.1407481481481481,2370,636,3661,0,135
2014-02-11,0.04623668639053254,0.833266272189349,0.12049112426035505,2095,490,2786,0,169
2014-02-12,0.04044444444444444,0.8357407407407408,0.12382098765432097,1834,908,3855,0,162
2014-02-13,0.08156396866840733,0.8314151436031322,0.08699477806788512,7840,2069,11917,3,383
2014-02-14,0.046342685370741474,0.8472625250501011,0.10639278557114229,10644,1818,10906,10,499
2014-02-15,0.05337500000000001,0.8229117647058821,0.12369852941176465,5100,1360,6575,0,272
2014-02-16,0.04352910052910055,0.8519470899470899,0.10455026455026455,7630,1221,7859,0,189
2014-02-17,0.037793774319066144,0.8428287937743186,0.11936186770428017,3420,838,4929,2,257
2014-02-18,0.04268978102189779,0.8381970802919712,0.1191094890510949,2154,696,3232,3,274
2014-02-19,0.06230877192982456,0.8274245614035086,0.1102736842105263,3231,777,4566,4,285
2014-02-20,0.0549877300613497,0.8388036809815951,0.10618404907975458,1700,626,5391,3,163
