Date,negative,neutral,positive,retweet_count,reply_count,like_count,quote_count,temp_tweet_counter
2014-01-01,0.0,0.0,0.0,0,0,0,0,0
2014-01-02,0.036166666666666666,0.8973333333333334,0.0665,75,4,27,0,6
2014-01-03,0.0,0.8721,0.12789999999999999,57,16,47,0,10
2014-01-04,0.0,0.798,0.202,7,1,1,0,1
2014-01-05,0.004363636363636364,0.9124545454545455,0.08318181818181819,101,15,36,0,11
2014-01-06,0.01634552845528455,0.9015569105691054,0.08208536585365853,3034,307,1476,0,246
2014-01-07,0.006500000000000001,0.9111666666666667,0.08230952380952382,435,41,281,0,42
2014-01-08,0.02585185185185185,0.8963333333333333,0.07777777777777779,214,48,151,0,27
2014-01-09,0.014708333333333335,0.89025,0.09504166666666668,256,28,174,0,24
2014-01-10,0.014055555555555556,0.9088888888888889,0.07705555555555556,84,21,64,0,18
2014-01-11,0.0,1.0,0.0,8,1,3,0,2
2014-01-12,0.0,1.0,0.0,2,4,10,0,1
2014-01-13,0.006900000000000001,0.8629,0.1302,60,21,42,0,10
2014-01-14,0.006222222222222223,0.8356666666666668,0.15811111111111112,35,4,22,0,9
2014-01-15,0.0,0.952,0.04800000000000001,25,4,19,0,6
2014-01-16,0.03322222222222222,0.8694444444444444,0.09733333333333333,27,22,35,0,9
2014-01-17,0.0,0.8474999999999999,0.1525,4,0,3,0,2
2014-01-18,0.024,0.8975,0.0785,11,3,15,0,4
2014-01-19,0.0,0.0,0.0,0,0,0,0,0
2014-01-20,0.0,1.0,0.0,17,1,6,0,3
2014-01-21,0.075,0.7726000000000001,0.1524,15,8,7,0,5
2014-01-22,0.08714285714285715,0.7800000000000001,0.13285714285714287,44,11,36,0,7
2014-01-23,0.013153846153846155,0.8036923076923076,0.18315384615384617,63,24,85,0,13
2014-01-24,0.0185,0.8024999999999999,0.17900000000000002,86,6,79,0,6
2014-01-25,0.15875,0.7606249999999999,0.080625,90,15,26,0,8
2014-01-26,0.268,0.536,0.196,5,1,0,0,1
2014-01-27,0.02375,0.84475,0.1315,11,2,8,0,4
