Date,negative,neutral,positive,retweet_count,reply_count,like_count,quote_count,temp_tweet_counter
2014-01-01,0.058952380952380964,0.8213174603174603,0.11973015873015873,927,112,421,0,63
2014-01-02,0.040680672268907564,0.8537647058823528,0.105546218487395,1803,316,1960,0,119
2014-01-03,0.028631147540983604,0.8432704918032787,0.12810655737704918,1009,230,678,0,122
2014-01-04,0.033727272727272724,0.8530303030303031,0.11322727272727273,374,146,313,0,66
2014-01-05,0.058166666666666665,0.8352291666666668,0.10660416666666667,502,65,397,0,48
2014-01-06,0.023069892473118282,0.8695698924731184,0.10734946236559141,2012,293,982,0,186
2014-01-07,0.03661607142857143,0.8643660714285717,0.09902678571428572,3692,379,2522,2,224
2014-01-08,0.027752100840336132,0.8774579831932776,0.09479831932773108,4306,727,2141,2,238
2014-01-09,0.023747368421052635,0.8595368421052634,0.11672105263157895,2493,358,1963,4,190
2014-01-10,0.03314,0.8629266666666668,0.10395333333333334,1225,218,856,1,150
2014-01-11,0.04274418604651163,0.8656511627906973,0.09162790697674418,2274,237,960,1,86
2014-01-12,0.034662500000000006,0.8747375000000002,0.0906,1183,139,454,0,80
2014-01-13,0.024798245614035083,0.85240350877193,0.12280701754385968,2707,444,2036,2,228
2014-01-14,0.03975,0.858081730769231,0.10216346153846155,2689,454,2510,0,208
2014-01-15,0.04187222222222223,0.8138111111111107,0.14431111111111114,3857,646,3473,0,180
2014-01-16,0.031852173913043486,0.8355695652173917,0.1325695652173913,2439,492,1252,5,230
2014-01-17,0.028245614035087727,0.8378771929824562,0.13390058479532166,1911,337,1233,1,171
2014-01-18,0.02540963855421687,0.8679277108433735,0.10668674698795182,703,174,421,0,83
2014-01-19,0.054274509803921574,0.8323333333333331,0.11337254901960785,346,81,210,0,51
2014-01-20,0.0354808743169399,0.8482404371584699,0.11629508196721314,2733,455,1679,1,183
2014-01-21,0.04207971014492754,0.8483297101449273,0.10959782608695655,3742,1220,2903,1,276
2014-01-22,0.035957142857142854,0.8595857142857142,0.1044571428571428,2574,457,1582,1,210
2014-01-23,0.03708908045977012,0.8636235632183905,0.09926436781609196,2992,593,1703,4,348
2014-01-24,0.032798387096774205,0.8541491935483873,0.11304435483870971,2531,532,1484,0,248
2014-01-25,0.035794117647058823,0.851313725490196,0.11289215686274512,764,173,557,0,102
