Date,negative,neutral,positive,retweet_count,reply_count,like_count,quote_count,temp_tweet_counter
2014-01-01,0.027277777777777776,0.7808703703703702,0.19187037037037039,197,87,393,0,54
2014-01-02,0.036014285714285714,0.8376714285714285,0.1263142857142857,257,82,349,0,70
2014-01-03,0.043351351351351354,0.8361756756756757,0.1204864864864865,828,161,1027,0,74
2014-01-04,0.04068571428571429,0.8675571428571427,0.09175714285714286,336,136,566,0,70
2014-01-05,0.04236363636363636,0.8454999999999997,0.11213636363636363,191,118,301,0,66
2014-01-06,0.03272277227722772,0.8578415841584159,0.10942574257425743,895,200,780,0,101
2014-01-07,0.02378313253012048,0.8574819277108434,0.1187710843373494,516,149,780,1,83
2014-01-08,0.030161971830985918,0.8374718309859155,0.13233802816901408,1051,280,1629,0,142
2014-01-09,0.03214159292035398,0.8632920353982302,0.10457522123893813,1121,215,1479,1,113
2014-01-10,0.021870967741935487,0.8323225806451613,0.14579032258064525,1422,362,2059,0,124
2014-01-11,0.050094594594594595,0.8495000000000001,0.1003918918918919,488,152,874,0,74
2014-01-12,0.033988764044943824,0.852876404494382,0.11315730337078651,606,168,761,0,89
2014-01-13,0.01871428571428571,0.8693311688311683,0.11194805194805192,2932,605,3586,0,154
2014-01-14,0.04267460317460318,0.8346587301587303,0.12266666666666663,601,188,1142,0,126
2014-01-15,0.02198473282442748,0.8341145038167936,0.1438931297709924,705,256,1768,0,131
2014-01-16,0.036676616915422885,0.8416616915422888,0.12166666666666667,2463,405,2798,1,201
2014-01-17,0.04523188405797102,0.8500942028985509,0.10465942028985512,1240,265,1924,1,138
2014-01-18,0.05009090909090909,0.838883116883117,0.11102597402597404,449,121,578,0,77
2014-01-19,0.029058823529411772,0.8533529411764702,0.11760294117647062,3551,2296,10156,0,68
2014-01-20,0.029789115646258506,0.8461972789115648,0.12402040816326527,2163,357,2013,4,147
2014-01-21,0.03883018867924529,0.8692201257861635,0.09194339622641512,1446,403,4071,0,159
2014-01-22,0.03251282051282051,0.8569807692307696,0.11051282051282052,1184,344,2146,0,156
2014-01-23,0.04297457627118645,0.8305423728813561,0.12649152542372882,817,161,1274,1,118
2014-01-24,0.033480519480519486,0.838649350649351,0.12787012987012988,1528,256,1618,14,154
2014-01-25,0.030361445783132532,0.834144578313253,0.13551807228915658,456,129,1016,0,83
2014-01-26,0.030784810126582282,0.8405063291139241,0.12872151898734174,650,147,672,0,79
2014-01-27,0.027155555555555554,0.8332740740740742,0.13957777777777777,2792,463,2534,1,135
2014-01-28,0.028891891891891903,0.8480067567567567,0.12308783783783787,4976,411,7083,0,148
2014-01-29,0.029617834394904455,0.863573248407643,0.10679617834394904,2258,428,3114,0,157
2014-01-30,0.04092198581560284,0.8424397163120569,0.11663829787234044,1405,217,1402,0,141
2014-01-31,0.03477358490566038,0.8606163522012574,0.10461635220125784,1215,431,1582,0,159
2014-02-01,0.02638372093023256,0.8340116279069768,0.139593023255814,428,125,970,0,86
2014-02-02,0.02384090909090909,0.8436022727272725,0.13257954545454542,1101,204,945,0,88
2014-02-03,0.032510638297872346,0.8361808510638299,0.1312925531914894,3729,561,3866,0,188
2014-02-04,0.03130215827338131,0.8592014388489212,0.10948201438848924,1164,235,2156,1,139
2014-02-05,0.04013333333333334,0.839495238095238,0.12039047619047619,827,196,1570,0,105
2014-02-06,0.029266129032258073,0.8334596774193546,0.1372741935483871,741,194,1355,0,124
2014-02-07,0.02326845637583893,0.8563221476510066,0.12040268456375837,1196,322,2656,0,149
2014-02-08,0.021835443037974682,0.8537088607594935,0.12444303797468356,817,153,1263,0,79
2014-02-09,0.02402439024390244,0.8466463414634148,0.12932926829268301,724,410,873,1,82
2014-02-10,0.020192000000000005,0.85364,0.126152,1352,757,2613,0,125
2014-02-11,0.035616,0.848656,0.11573599999999998,943,278,1757,0,125
2014-02-12,0.027401459854014605,0.8454671532846714,0.12714598540145983,931,239,1803,0,137
2014-02-13,0.029837209302325585,0.8414263565891473,0.1287519379844961,596,209,1037,1,129
2014-02-14,0.03102970297029703,0.7840099009900995,0.18495049504950498,2209,725,4210,0,202
2014-02-15,0.03632183908045977,0.8198160919540232,0.14386206896551723,7119,1175,13608,1,87
2014-02-16,0.04352000000000001,0.8328800000000001,0.12354666666666667,290,133,640,0,75
2014-02-17,0.028164948453608243,0.8616494845360823,0.11019587628865982,1095,259,1848,0,97
2014-02-18,0.022993333333333327,0.8496933333333335,0.12731333333333336,1064,209,1427,0,150
2014-02-19,0.02280434782608696,0.8443115942028988,0.1328840579710145,1211,339,2366,0,138
2014-02-20,0.034603603603603594,0.8685585585585587,0.09684684684684684,1056,230,1502,1,111
2014-02-21,0.024367741935483873,0.8426774193548388,0.13297419354838708,2076,395,2926,0,155
2014-02-22,0.03218181818181818,0.8285064935064936,0.13929870129870126,447,153,949,0,77
2014-02-23,0.04379220779220779,0.8174025974025976,0.13883116883116886,1436,363,4889,0,77
2014-02-24,0.02772072072072072,0.8638468468468464,0.10844144144144141,893,250,1596,0,111
2014-02-25,0.02612987012987013,0.8472142857142859,0.1266688311688312,1406,328,2633,10,154
2014-02-26,0.041865771812080545,0.8321140939597315,0.12600671140939598,1780,390,3420,1,149
2014-02-27,0.02573939393939394,0.8694787878787877,0.1047757575757576,1482,340,2201,2,165
2014-02-28,0.0219568345323741,0.8641726618705036,0.11388489208633093,1056,277,1357,0,139
2014-03-01,0.03724705882352941,0.8545529411764706,0.10818823529411763,505,134,980,0,85
2014-03-02,0.01135820895522388,0.8858955223880598,0.10276119402985073,969,224,3381,0,67
2014-03-03,0.035639705882352934,0.8486911764705886,0.11566911764705884,849,279,1635,2,136
2014-03-04,0.023315436241610744,0.8726778523489933,0.10402013422818793,7970,987,14290,0,149
2014-03-05,0.026762962962962968,0.8383925925925929,0.1348444444444445,1048,234,1998,0,135
2014-03-06,0.016466367713004484,0.8701121076233185,0.11342152466367712,2459,411,3028,0,223
2014-03-07,0.02880851063829788,0.8550638297872338,0.11612765957446804,1847,294,2624,0,188
2014-03-08,0.012776470588235295,0.8395882352941174,0.147635294117647,568,150,1049,0,85
2014-03-09,0.024363636363636365,0.847922077922078,0.1277272727272727,546,185,1118,0,77
2014-03-10,0.01266891891891892,0.8693175675675675,0.11802702702702703,1230,319,2301,2,148
2014-03-11,0.02292168674698795,0.8665120481927716,0.11056626506024102,1585,311,2575,0,166
2014-03-12,0.03230994152046784,0.8506081871345028,0.11708187134502926,1251,227,1772,0,171
2014-03-13,0.026820312500000002,0.8636093749999999,0.10957812499999998,2998,1443,4598,3,128
2014-03-14,0.041579831932773106,0.8172268907563022,0.14120168067226893,764,185,1789,0,119
2014-03-15,0.0213768115942029,0.8564347826086954,0.12217391304347829,377,98,825,0,69
2014-03-16,0.03265671641791045,0.8611044776119405,0.1062537313432836,525,182,3523,0,67
2014-03-17,0.029298507462686568,0.824313432835821,0.1463880597014926,8923,1054,18197,0,134
2014-03-18,0.03221794871794873,0.8587371794871796,0.10905128205128203,1369,612,2140,0,156
2014-03-19,0.04161486486486485,0.8402027027027029,0.11820270270270278,6166,691,12435,0,148
2014-03-20,0.020033557046979872,0.8777114093959735,0.10225503355704699,808,235,1624,1,149
2014-03-21,0.028206521739130422,0.8540163043478263,0.11777717391304351,7270,770,13619,1,184
2014-03-22,0.020291666666666666,0.8638020833333332,0.11590624999999997,681,128,818,0,96
2014-03-23,0.024782608695652172,0.8660434782608695,0.10915942028985506,486,166,709,0,69
2014-03-24,0.029372670807453417,0.8560248447204972,0.11460869565217392,1123,324,1319,0,161
2014-03-25,0.027197424892703853,0.8700772532188841,0.10272103004291844,2272,540,3525,0,233
2014-03-26,0.030011299435028255,0.8418587570621469,0.12813559322033896,4632,845,11953,0,177
2014-03-27,0.019559585492227978,0.860554404145078,0.11988082901554412,1636,445,3120,0,193
2014-03-28,0.026532967032967036,0.8408296703296705,0.13263186813186814,3624,743,6084,1,182
2014-03-29,0.019567901234567905,0.849358024691358,0.13108641975308644,358,109,920,0,81
2014-03-30,0.059658227848101264,0.8184810126582278,0.12184810126582275,691,189,1400,0,79
2014-03-31,0.015946666666666665,0.8603866666666662,0.12365999999999992,1137,260,3142,0,150
2014-04-01,0.02750931677018633,0.8386708074534163,0.13383229813664602,1621,360,2954,1,161
2014-04-02,0.020897058823529414,0.848077205882353,0.13102573529411762,4058,1319,8808,0,272
2014-04-03,0.022627565982404698,0.8107272727272733,0.1666422287390029,1616,726,5502,0,341
2014-04-04,0.026134146341463417,0.8357378048780485,0.13814024390243904,2116,612,2361,2,164
2014-04-05,0.023999999999999997,0.8261368421052627,0.1498736842105263,472,150,1168,0,95
2014-04-06,0.03197916666666666,0.8148333333333335,0.15320833333333336,296,74,696,0,48
2014-04-07,0.017523809523809525,0.8561972789115647,0.12627891156462587,1202,249,2075,0,147
2014-04-08,0.028213953488372093,0.8585674418604657,0.11320930232558139,1836,361,3656,1,215
2014-04-09,0.02190540540540541,0.8575540540540542,0.12054729729729725,1384,584,3299,2,148
2014-04-10,0.03314093959731544,0.8424899328859061,0.12436912751677853,882,247,1803,0,149
