Date,negative,neutral,positive,retweet_count,reply_count,like_count,quote_count,temp_tweet_counter
2014-01-01,0.0995,0.68775,0.21275,179,48,207,0,4
2014-01-02,0.010583333333333333,0.7906666666666665,0.19875,90,17,68,0,12
2014-01-03,0.03376470588235294,0.883470588235294,0.08282352941176471,110,15,115,0,17
2014-01-04,0.047,0.7955384615384615,0.15746153846153849,63,17,70,0,13
2014-01-05,0.056999999999999995,0.8025,0.14049999999999999,27,9,30,0,8
2014-01-06,0.06952631578947369,0.8216315789473686,0.1087894736842105,186,40,301,0,19
2014-01-07,0.07087096774193549,0.8646451612903225,0.06451612903225806,594,90,624,0,31
2014-01-08,0.0433,0.8220500000000002,0.13465,165,26,138,0,20
2014-01-09,0.06004761904761905,0.8530952380952379,0.08685714285714285,273,49,201,1,21
2014-01-10,0.07999999999999999,0.8752608695652174,0.044652173913043484,155,33,132,0,23
2014-01-11,0.036703703703703704,0.7639259259259258,0.19948148148148148,289,94,236,0,27
2014-01-12,0.027318181818181818,0.7722272727272728,0.20040909090909095,95,40,117,0,22
2014-01-13,0.029588235294117648,0.8126176470588236,0.15779411764705883,210,41,129,0,34
2014-01-14,0.04690196078431372,0.8587189542483655,0.09435294117647057,1705,279,906,2,153
2014-01-15,0.016653846153846154,0.8913589743589743,0.0920128205128205,756,172,469,0,78
2014-01-16,0.005631578947368421,0.8740000000000001,0.12036842105263157,377,200,272,0,38
2014-01-17,0.023482758620689655,0.8160344827586207,0.16055172413793106,140,36,77,0,29
2014-01-18,0.0,0.7691578947368422,0.2308421052631579,61,9,38,0,19
2014-01-19,0.0,0.8254705882352941,0.17452941176470588,75,12,51,0,17
2014-01-20,0.0165,0.8349444444444445,0.14855555555555558,37,17,45,0,18
2014-01-21,0.026709677419354837,0.8596129032258064,0.1136774193548387,319,76,271,1,31
2014-01-22,0.039200000000000006,0.8433999999999998,0.11746666666666669,140,40,130,0,30
2014-01-23,0.01647727272727273,0.8838409090909092,0.09965909090909092,812,209,672,0,44
2014-01-24,0.053849999999999995,0.8432000000000001,0.10295000000000001,240,52,162,0,40
2014-01-25,0.028846153846153848,0.8248461538461538,0.1463076923076923,75,20,48,0,13
2014-01-26,0.0,0.8238125000000001,0.1761875,1264,209,1037,0,16
2014-01-27,0.01813157894736842,0.9016315789473685,0.08021052631578947,2316,88,346,0,38
2014-01-28,0.024542857142857144,0.8655428571428571,0.1099142857142857,279,70,220,0,35
2014-01-29,0.03982051282051282,0.864974358974359,0.09523076923076923,340,53,202,0,39
2014-01-30,0.0213125,0.9023749999999999,0.0763125,1381,291,1337,0,32
2014-01-31,0.04362962962962963,0.843777777777778,0.11255555555555558,146,56,132,0,27
2014-02-01,0.04491666666666667,0.8734166666666666,0.08158333333333333,47,10,55,0,12
2014-02-02,0.11804999999999999,0.8541000000000001,0.027850000000000003,1374,249,1336,0,20
2014-02-03,0.044782608695652176,0.8864782608695654,0.06878260869565218,226,22,188,0,23
2014-02-04,0.031227272727272725,0.879090909090909,0.08968181818181818,131,24,143,0,22
2014-02-05,0.06286956521739132,0.8227826086956523,0.11434782608695655,989,353,2447,0,23
2014-02-06,0.027789473684210527,0.8731578947368421,0.09905263157894736,646,56,392,0,38
2014-02-07,0.030758620689655174,0.845793103448276,0.12348275862068968,813,124,610,3,29
2014-02-08,0.12145454545454547,0.7839090909090909,0.09472727272727273,69,26,91,0,11
2014-02-09,0.051095238095238096,0.8083333333333333,0.14057142857142857,464,175,619,2,21
2014-02-10,0.03213043478260869,0.8438695652173912,0.12404347826086956,386,75,263,0,46
2014-02-11,0.05895348837209303,0.820093023255814,0.12093023255813956,385,85,309,0,43
2014-02-12,0.0216,0.8473200000000002,0.13107999999999997,143,40,110,0,25
2014-02-13,0.07169696969696972,0.8071515151515152,0.12118181818181817,434,66,354,0,33
2014-02-14,0.09085714285714286,0.8324761904761905,0.07664285714285714,237,58,151,0,42
2014-02-15,0.07146153846153847,0.8473076923076923,0.08123076923076923,43,15,52,0,13
2014-02-16,0.034104166666666665,0.8758749999999998,0.09000000000000001,686,117,380,0,48
2014-02-17,0.02966153846153847,0.8984923076923076,0.07183076923076924,1073,195,468,1,65
2014-02-18,0.02308247422680412,0.9032474226804121,0.073680412371134,826,172,515,1,97
2014-02-19,0.02842307692307692,0.8839358974358975,0.08765384615384618,1339,265,1014,0,156
2014-02-20,0.03257931034482759,0.8774758620689656,0.08993793103448278,3688,223,1131,0,145
2014-02-21,0.026241379310344832,0.8998275862068966,0.07393103448275863,422,65,327,0,58
2014-02-22,0.0399090909090909,0.8497272727272727,0.11036363636363636,130,12,105,0,11
2014-02-23,0.05499999999999999,0.8170526315789474,0.12789473684210528,149,46,196,0,19
2014-02-24,0.038636363636363635,0.8895454545454545,0.07177272727272727,302,26,182,0,22
2014-02-25,0.02963354037267081,0.8735838509316773,0.09678260869565215,2961,291,1151,2,161
2014-02-26,0.02837727272727273,0.8969863636363634,0.07465000000000002,2392,397,1631,0,220
2014-02-27,0.030183098591549294,0.8948239436619722,0.07500000000000001,1601,238,1048,1,142
2014-02-28,0.04279761904761906,0.8659404761904762,0.09127380952380953,1063,141,805,0,84
2014-03-01,0.044392857142857144,0.8886785714285713,0.06696428571428571,589,70,414,0,28
2014-03-02,0.049058823529411766,0.8608823529411765,0.09005882352941177,666,104,611,1,34
2014-03-03,0.03641860465116279,0.8783720930232557,0.0852093023255814,459,73,360,0,43
2014-03-04,0.02189130434782609,0.8643913043478263,0.11369565217391306,623,88,339,0,46
2014-03-05,0.025760869565217392,0.8747826086956524,0.09943478260869565,511,139,548,1,46
2014-03-06,0.018923076923076924,0.8746923076923078,0.1063846153846154,691,650,831,0,26
2014-03-07,0.042851851851851856,0.8577407407407408,0.09940740740740742,229,45,280,0,27
2014-03-08,0.02608695652173913,0.8621304347826085,0.11173913043478262,265,42,240,0,23
2014-03-09,0.031125,0.935875,0.033,112,24,117,0,16
2014-03-10,0.028942857142857145,0.8874285714285715,0.08360000000000002,260,46,216,0,35
2014-03-11,0.11211510791366909,0.8385179856115103,0.049352517985611494,4837,905,2261,1,139
2014-03-12,0.12025641025641026,0.8302371794871792,0.04948717948717949,1802,509,1097,1,156
2014-03-13,0.11298837209302322,0.7887674418604653,0.09829069767441861,5865,1444,9397,1,86
2014-03-14,0.11522321428571428,0.8365892857142858,0.048205357142857154,2280,372,1968,4,112
2014-03-15,0.07494339622641509,0.864056603773585,0.06099999999999999,898,156,773,0,53
2014-03-16,0.08983333333333335,0.8536388888888887,0.056555555555555546,488,123,301,0,36
2014-03-17,0.051039215686274515,0.8639803921568626,0.085,454,77,351,0,51
2014-03-18,0.07583950617283952,0.8293086419753084,0.09487654320987654,705,153,570,0,81
2014-03-19,0.0664,0.8374266666666667,0.09618666666666668,642,142,436,1,75
2014-03-20,0.061519230769230784,0.849,0.08948076923076922,941,112,750,0,52
2014-03-21,0.0587608695652174,0.865608695652174,0.0756304347826087,554,76,431,0,46
2014-03-22,0.06428205128205129,0.8550256410256412,0.0806923076923077,519,94,390,0,39
2014-03-23,0.04058064516129032,0.8890000000000001,0.07038709677419355,531,81,356,0,31
2014-03-24,0.05376923076923078,0.8652307692307692,0.08099999999999999,475,95,389,0,39
2014-03-25,0.05358333333333334,0.8277708333333332,0.118625,435,85,312,1,48
2014-03-26,0.06468,0.8518599999999998,0.08358,356,62,296,0,50
2014-03-27,0.044109375,0.8855937499999998,0.07031250000000003,850,212,693,1,64
2014-03-28,0.060619631901840505,0.8651472392638041,0.07422699386503069,1684,264,1301,0,163
2014-03-29,0.07422222222222223,0.8681944444444444,0.05763888888888889,661,93,593,1,36
2014-03-30,0.05085714285714285,0.8368333333333334,0.11230952380952382,497,94,509,0,42
2014-03-31,0.09618627450980392,0.8203529411764705,0.08346078431372547,971,183,816,0,102
2014-04-01,0.07313483146067415,0.8527078651685396,0.07413483146067415,1734,303,1368,1,89
2014-04-02,0.04662352941176471,0.8721529411764704,0.08124705882352941,706,173,610,1,85
2014-04-03,0.0507037037037037,0.8570740740740739,0.09218518518518516,848,125,787,0,54
2014-04-04,0.029681818181818177,0.8599999999999998,0.11031818181818182,880,107,1356,0,44
2014-04-05,0.032909090909090916,0.9048636363636362,0.06222727272727273,470,108,292,0,44
2014-04-06,0.027884615384615383,0.8005384615384615,0.1715384615384615,184,30,180,0,26
2014-04-07,0.07789189189189191,0.8020810810810811,0.11997297297297295,529,151,723,2,37
2014-04-08,0.045475409836065565,0.8458196721311476,0.10873770491803281,1246,233,1286,1,61
2014-04-09,0.03733333333333333,0.8719999999999999,0.09061538461538463,248,65,437,0,39
2014-04-10,0.02991891891891892,0.917810810810811,0.05227027027027027,196,60,243,0,37
2014-04-11,0.0447037037037037,0.8424814814814816,0.11281481481481483,268,350,210,4,27
2014-04-12,0.008,0.8657777777777778,0.12627777777777777,167,46,186,0,18
2014-04-13,0.0442,0.8664,0.08940000000000001,45,15,40,0,10
2014-04-14,0.04107499999999999,0.8933000000000002,0.06562500000000002,745,138,519,0,40
2014-04-15,0.03696774193548387,0.8491612903225806,0.11387096774193549,403,89,480,0,31
2014-04-16,0.08444444444444443,0.8025277777777777,0.11302777777777778,202,27,225,1,36
2014-04-17,0.049100000000000005,0.8251333333333333,0.12573333333333334,310,82,293,1,30
2014-04-18,0.06385714285714286,0.8785714285714286,0.05757142857142857,182,38,218,0,21
2014-04-19,0.049105263157894735,0.895157894736842,0.05578947368421053,170,36,155,0,19
2014-04-20,0.0115,0.9149285714285715,0.07357142857142858,225,22,128,0,14
2014-04-21,0.07270000000000001,0.83475,0.09255000000000002,154,23,109,0,20
2014-04-22,0.05646153846153846,0.8716615384615386,0.07192307692307692,1074,99,875,0,65
2014-04-23,0.04728333333333334,0.8873833333333334,0.06535,743,154,688,2,60
2014-04-24,0.08190909090909092,0.8385113636363638,0.07957954545454544,701,158,589,0,88
2014-04-25,0.06199999999999999,0.8699230769230768,0.06806153846153845,548,76,417,0,65
2014-04-26,0.042166666666666665,0.8947083333333331,0.063125,257,114,169,0,24
2014-04-27,0.025125,0.9038749999999999,0.071,339,47,328,0,16
